1,2,3,4,5,6,7,8,9,10,11,12,13,14
20240412010839,10.0.0.20,33544,10.0.2.20,5001,3,0.0-10.7,113639424,85260482,6,cubic,1000000,500,10000
20240412010931,10.0.0.20,59964,10.0.2.20,5001,3,0.0-11.6,21757952,14947971,6,cubic,1000000,500,100000
20240412011021,10.0.0.20,58390,10.0.2.20,5001,3,0.0-10.0,139460608,111296311,6,cubic,1000000,900,10000
20240412011115,10.0.0.20,48750,10.0.2.20,5001,3,0.0-12.9,10723888,6633144,6,cubic,1000000,900,100000
20240412011843,10.0.0.20,51434,10.0.2.20,5001,3,0.0-11.0,6160384,4469016,7,cubic,100000,500,10000
20240412011935,10.0.0.20,58184,10.0.2.20,5001,3,0.0-11.6,1048576,721588,7,cubic,100000,500,100000
20240412012026,10.0.0.20,39732,10.0.2.20,5001,3,0.0-10.1,4718592,3735928,7,cubic,100000,900,10000
20240412012116,10.0.0.20,56528,10.0.2.20,5001,3,0.0-10.1,786432,625152,7,cubic,100000,900,100000
20240412012207,10.0.0.20,42656,10.0.2.20,5001,3,0.0-10.1,71303168,56320466,7,cubic,1000000,500,10000
20240412012256,10.0.0.20,33820,10.0.2.20,5001,3,0.0-10.4,7077888,5424069,7,cubic,1000000,500,100000
20240412012344,10.0.0.20,60998,10.0.2.20,5001,3,0.0-10.0,18219008,14542739,7,cubic,1000000,900,10000
20240412012436,10.0.0.20,50528,10.0.2.20,5001,3,0.0-11.1,13631488,9790433,7,cubic,1000000,900,100000
